id, x, y, freq, label
414, -6.436490, -61.203773, 53, friend
415, -13.833561, -57.473511, 42, considine
416, -1.843305, -62.072365, 51, open
417, -14.136326, -57.596981, 53, suddenly
418, 30.178984, 47.818443, 39, third
419, -18.946238, -54.189465, 49, word
420, 35.900192, 40.002865, 56, owners
421, -16.196119, -56.086704, 49, north
422, 26.256945, 52.444286, 52, museum
423, 38.904823, 39.499783, 52, movement
424, -5.258402, -63.034744, 51, across
425, -1.425589, -62.100239, 52, love
426, -16.521353, -55.415699, 53, moral
427, -19.154362, -54.994370, 53, exile
428, -9.364100, -60.486275, 53, coming
429, 29.465469, 47.681377, 53, beginning
430, -8.987296, -59.878643, 52, april
431, -14.836583, -57.212173, 46, mother
432, 2.106220, -62.488712, 45, miller
433, -11.129298, -59.528008, 51, particularly
434, -19.543863, -53.994148, 52, creating
435, -8.829917, -60.473076, 51, door
436, -3.673441, -62.162811, 52, inside
437, -10.859859, -61.154514, 52, criminal
438, -18.330610, -54.162777, 50, living
439, -17.961006, -54.919189, 51, list
440, -11.674146, -59.293358, 50, side
441, -25.709406, -49.080391, 50, white
442, -1.608018, 56.563965, 51, liberation
443, -3.045563, -62.237534, 49, madison
444, 37.388405, 39.069084, 48, south
445, 13.385735, 56.868221, 51, frances
446, -4.879812, -61.064945, 46, black
447, -0.579363, -62.232784, 50, rhetoric
448, -5.955000, -61.899040, 48, god
449, -9.097342, -59.351631, 50, media
450, 35.790287, 40.923420, 51, start
451, -9.386648, -58.967407, 51, tom
452, 33.312080, 44.124359, 50, fight
453, 3.392614, -63.825756, 50, libraries
454, -1.974152, -62.096088, 48, better
455, -12.709009, -58.613953, 50, william
456, -26.739334, -48.182537, 47, bishop
457, -16.328413, -55.751114, 50, personal
458, -11.636335, -59.680515, 47, wells
459, -3.819749, -62.531830, 32, seven
460, -9.281405, -61.410114, 50, private
461, 29.827639, 48.860901, 47, decades
462, -14.274765, -57.930267, 49, charge
463, -10.310412, -60.849583, 46, collins
464, 0.151023, -62.770836, 49, care
465, -13.555066, -58.620014, 49, names
466, -0.138461, -62.751953, 49, considered
467, -4.638340, -61.818230, 46, behind
468, -5.576396, -61.692322, 48, october
