id, x, y, freq, label
493, 48.220375, 2.746220, 25, paul
494, 54.388901, 3.680501, 25, since
495, 53.024986, 9.907645, 25, dispossession
496, 53.753422, 7.807332, 25, linked
497, 47.074677, -19.143772, 21, valley
498, 51.590069, -2.922224, 14, night
499, 48.018181, -11.854438, 25, bureau
500, -20.213957, -38.722031, 19, wind
501, -31.520199, -35.184189, 25, thing
502, 47.972218, -12.294632, 25, process
503, 45.626099, -20.854128, 23, population
504, 51.960495, -8.744112, 25, inside
505, -31.037073, -34.394768, 23, government
506, -15.994801, -38.423199, 21, ten
507, 47.287716, -15.875351, 24, mouth
508, 51.922626, -13.778834, 24, economic
509, -16.101442, -35.203121, 24, ican
510, 51.963715, -3.545606, 24, ghosts
511, 42.430698, -20.352104, 22, thousand
512, 51.854889, -15.499455, 24, myth
513, 46.839977, -14.684579, 24, least
514, 46.216648, -19.767651, 22, using
515, 37.504700, 23.785925, 24, tory
516, 51.153606, -16.122663, 23, tradition
517, 43.761822, -19.194693, 24, number
518, 48.646545, -15.580287, 24, hotel
519, 47.155128, 10.909645, 24, illinois
520, 43.331535, -17.777843, 24, seen
521, 48.180290, -16.295441, 23, annual
522, 54.165459, -6.169732, 23, memories
523, 52.750336, -8.601044, 21, group
524, 50.605701, 11.439469, 23, activists
525, 52.535168, -2.120224, 23, sometimes
526, 46.577965, 19.968502, 19, indeed
527, 53.981270, 4.492655, 22, claims
528, -16.590378, -34.811367, 23, census
529, 45.556545, 14.177588, 23, experience
530, 54.074821, -7.218411, 23, worked
531, 50.525349, -16.665928, 22, close
532, 45.497601, -21.867369, 21, particularly
533, 51.965336, 10.355754, 22, look
534, 47.964085, -17.859161, 23, gave
535, 52.854641, -3.178962, 23, landing
536, 46.199387, -15.691368, 20, born
537, 51.607243, 2.881781, 21, green
538, 52.419014, 2.995232, 22, help
539, 52.967480, 11.297282, 21, era
540, -18.032234, -37.395847, 22, order
541, 35.099781, 24.869699, 22, bass
542, 47.352306, -5.349711, 23, department
543, 41.578667, 24.302055, 22, accounts
544, 51.903416, -3.093215, 22, trail
545, 47.909107, -16.407789, 22, played
546, 49.920483, -3.610037, 22, study
547, 51.866379, -9.373493, 21, spring
548, 52.361038, -7.336401, 21, recognition
549, 45.213539, 9.073560, 22, warren
550, 44.318077, -21.722761, 22, reflected
551, 53.511467, -12.224518, 22, shared
552, 50.926010, -15.218381, 20, mother
553, 52.412846, 4.673409, 22, course
554, 42.259151, 24.390945, 22, means
555, 21.697107, 42.295795, 23, descendants
556, 53.064228, -9.558067, 20, right
557, 45.353504, 11.018841, 22, mscua
558, 47.277935, 10.252284, 22, powerful
559, 50.455254, -14.921926, 21, must
560, 47.979858, -15.187988, 22, edge
561, 46.291245, -19.402372, 21, camp
562, 39.794922, 18.226610, 22, lands
563, 52.311501, 10.988129, 22, represented
564, 49.401836, 3.948578, 22, original
565, 49.334362, -10.704323, 20, line
566, 52.382442, 12.168928, 21, heritage
567, 52.441971, -13.905097, 22, yet
568, 54.042286, -4.704462, 21, jargon
569, 51.867298, 3.590491, 17, canadian
570, 48.068199, -15.967499, 16, full
571, 53.999268, -8.514999, 22, take
572, 54.008301, 9.382575, 20, longer
573, 43.399452, -19.108139, 18, shop
574, 54.451252, -0.644630, 20, hotels
575, 53.739399, -6.241451, 16, run
576, 50.254482, -13.878342, 26, smallpox
577, -17.159353, 39.300026, 21, journal
578, 52.466091, -4.274643, 21, elder
579, 51.275597, -13.491597, 20, battle
580, 48.184460, 14.895710, 21, historic
581, 46.873089, -19.550848, 21, workers
582, 49.411983, 7.732388, 21, events
583, 53.829750, 5.250385, 21, agency
584, 54.933876, -7.645216, 21, problem
585, 51.632256, -8.409220, 21, baskets
586, 52.745266, -5.434463, 20, view
587, 55.104401, 5.226078, 21, evidence
588, 45.496395, -20.392099, 21, ancient
589, 52.706032, 8.061452, 20, find
590, 53.110195, -9.744575, 21, taken
591, 48.138256, -11.283658, 21, notes
592, 53.798275, 1.910588, 19, filled
593, 47.493465, -15.773353, 21, series
594, 44.431721, 19.630152, 21, finally
595, 50.311447, -9.973702, 21, oral
596, 53.427315, -4.035699, 21, legal
597, 50.191704, 11.922302, 21, say
598, 52.441860, -6.621533, 21, call
599, 49.063156, -11.091209, 21, growing
600, 51.623291, 0.616209, 20, wa
601, 40.754658, 27.238623, 21, telling
602, 44.438255, 20.148632, 21, memory
603, 39.689880, 22.922989, 21, daybreak
604, 48.337959, -14.128782, 21, created
605, -14.968501, -38.499100, 19, moment
606, 52.228844, 4.305680, 20, shoreline
607, 50.244854, -10.708777, 21, wilderness
608, 48.181171, -5.151752, 20, given
609, 54.572517, 3.944839, 21, shores
610, -5.758693, 40.439377, 20, marian
611, 54.550728, -3.729323, 19, know
612, 48.546261, 13.683977, 17, wash
613, 46.872242, 17.018106, 19, gathering
